,entidad,tipo,BMDS,FECHA,intrumento,inst_text,tipo convocatoria,tipo_text,presupuesto,sector,region,finalidad,convocatoria_esp,convocatoria_coo,tipo_beneficiario,base_reguladora,http_reguladora,diario_of,continuo,validez,inicio,final,sa_number,cofinanciado
0,COMUNITAT VALENCIANA,SECRETARÍA AUTONÓMICA DE CULTURA Y DEPORTE,438407,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"358,320.00 €","Actividades de creación, artísticas y espectáculos",ES52 - COMUNIDAD VALENCIANA,CULTURA,"FUNDACIÓN CV PALAU DE LES ARTS, PARA LA FINANCIACIÓN DE LOS GASTOS DE INVERSIÓN DE LA FUNDACIÓN.",.,GRAN EMPRESA,"Ley 28/2018. de 28 de diciembre de 2018, de presupuestos de la Generalitat para el ejercicio 2019.",http://www.dogv.gva.es/datos/2018/12/31/pdf/2018_12323.pdf,No,No,01/01/2019,,,SA.53767,
1,GIJÓN,AYUNTAMIENTO DE GIJÓN,438406,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"16,542.20 €",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES12 - PRINCIPADO DE ASTURIAS,FOMENTO DEL EMPLEO,"Subvención nominativa a Talleres y Carrocerías Tar, S.L..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Presupuesto municipal prorrogado 2018,https://sedeelectronica.gijon.es/page/18297-presupuesto-municipal-2018,No,No,01/01/2018,,,,
2,GIJÓN,AYUNTAMIENTO DE GIJÓN,438404,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"15,852.20 €",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES12 - PRINCIPADO DE ASTURIAS,FOMENTO DEL EMPLEO,"Subvención nominativa a  Electriauto, S.L..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Presupuesto municipal prorrogado 2018,https://sedeelectronica.gijon.es/page/18297-presupuesto-municipal-2018,No,No,01/01/2018,,,,
3,GIJÓN,AYUNTAMIENTO DE GIJÓN,438400,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"10,239.10 €",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES12 - PRINCIPADO DE ASTURIAS,FOMENTO DEL EMPLEO,"Subvención nominativa a Sinergia Motor, S.L..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Presupuesto municipal prorrogado 2018,https://sedeelectronica.gijon.es/page/18297-presupuesto-municipal-2018,No,No,01/01/2018,,,,
4,CASSÀ DE LA SELVA,AYUNTAMIENTO DE CASSÀ DE LA SELVA,438391,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"8,400.00 €","ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES512 - Girona,CULTURA,Subvención nominativa Alter Sinergies Festival Càntut 2018.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Subvención nominativa Alter Sinergies Festival Càntut 2018,https://seu.cassa.cat/omunicipals/Ordenanza%20general%20de%20subvenciones%20(VERSIÓ%20EN%20CASTELLÀ).pdf,No,No,01/01/2018,,,,
5,CIUDAD AUTÓNOMA DE CEUTA,"CONSEJERÍA DE SANIDAD, SERVICIOS SOCIALES, MENORES E IGUALDAD",438386,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"25,000.00 €",TRANSPORTE Y ALMACENAMIENTO,ES63 - CIUDAD AUTONOMA DE CEUTA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,ADENDA CONVENIO EMPRESA DE AUTOBUSES HADU ALMADRABA.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,PRESUPUESTOS GENERALES CIUDAD DE CEUTA 2018,http://www.ceuta.es/ceuta/component/jdownloads/finish/1555-diciembre/9064-bocce-extra-50-29-12-2017?Itemid=0,No,No,01/01/2018,,,,
6,COMUNIDAD FORAL DE NAVARRA,DEPARTAMENTO DE EDUCACION,438382,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"30,000.00 €",Educación,ES22 - COMUNIDAD FORAL DE NAVARRA,EDUCACIÓN,Autorización gasto Convenio Tinko Elkartea 2019.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,https://www.educacion.navarra.es/web/dpto/euskara-zinema-aretoetara,https://www.educacion.navarra.es/web/dpto/euskara-zinema-aretoetara,No,No,04/02/2019,,,,
7,CIUDAD AUTÓNOMA DE MELILLA,CONSEJERÍA DE ECONOMÍA Y POLÍTICAS SOCIALES,438373,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"350,200.00 €",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES64 - CIUDAD AUTONOMA DE MELILLA,"COMERCIO, TURISMO Y PYMES","CONVOCATORIA RÉGIMEN DE AYUDAS A LA CREACION, AMPLIACION Y DIVERSIFICACIÓN DE PYME. AÑO 2019..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Bases Reguladoras del régimen de ayudas a la creación, ampliación y diversificación de Pyme",http://www.melilla.es/mandar.php/n/11/4165/5550.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Dia siguiente de publicación,a las 13:00 horas,,
8,MOGUER,AYUNTAMIENTO DE MOGUER,438367,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - canónica,200.00 €,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES615 - Huelva,CULTURA,CONCURSO RUTA GASTRONÓMICA FERIA ÉPOCA MOGUER 1900.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,CONCURSO RUTA GASTRONÓMICA FERIA ÉPOCA MOGUER 1900,www.aytomoguer.es,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",INICIO FERIA 1900,DIA CELEBRACION CONCURSO,,
9,CABILDO INSULAR DE TENERIFE,CABILDO INSULAR DE TENERIFE,438355,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"2,195,000.00 €",CONSTRUCCIÓN,ES709 - Tenerife,DESEMPLEO,"SUBVENCIÓN NOMINATIVA A VIVIENDAS, PROYECTOS Y OBRAS MUNICIPALES DE SANTA CRUZ DE TENERIFE PARA EL PROYECTO ""SANTA CRUZ HACIENDO BARRIOS"".",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Presupuesto General del Cabildo Insular de Tenerife 2018,http://www.bopsantacruzdetenerife.org/descargar/2018/02/015/Bop015-18.pdf,No,No,01/01/2018,,,,
10,ESTADO,MINISTERIO DE CIENCIA E INNOVACIÓN,438351,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"500,000.00 €","ACTIVIDADES PROFESIONALES, CIENTÍ?FICAS Y TÉCNICAS",ES - ESPAÑA ,"INVESTIGACIÓN, DESARROLLO E INNOVACIÓN","Resolución de 4 de febrero de 2019 del CDTI, E.P.E, por la que se regula la concesión directa de ayudas a los proyectos con participación española seleccionados en la convocatoria transnacional conjunta 2017-18 de la acción ERA-NET COFUND.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Ley 14/2011, de 1 de junio, de la Ciencia, la Tecnología y la Innovación",https://www.boe.es/buscar/act.php?id=BOE-A-2011-9617,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Publicación BOE,,SA.45828,FGI - FONDOS DE GESTIÓN INDIRECTA (ART. 58.1.C RGTO. UE Nº 966/2012)
11,DIPUTACIÓN PROV. DE VALLADOLID,DIPUTACIÓN PROVINCIAL DE VALLADOLID,438341,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"20,000.00 €",OTROS SERVICIOS,ES418 - Valladolid,FOMENTO DEL EMPLEO,"Acuerdo de la Junta de Gobierno nº 131/18, de 21 de diciembre, por el que se convocan subvenciones para la adquisición de parcelas en polígonos industriales y/o naves de CIESAS, año 2019.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,BASE REGULADORA GENERAL - ORDENANZA GENERAL DE SUBVENCIONES,http://www.diputaciondevalladolid.es/extras/diputacion/normativa/diputacion/2013/ref_2006_1551.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día siguiente a la publicación de extracto de la convocatoria en BOP,Hasta el 29 de septiembre de 2019,,
12,DIPUTACIÓN PROV. DE SEGOVIA,DIPUTACIÓN PROVINCIAL DE SEGOVIA,438340,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"21,000.00 €",OTROS SERVICIOS,ES416 - Segovia,FOMENTO DEL EMPLEO,APROBACIÓN DE BASES Y CONVOCATORIA DE AYUDAS PARA NUEVOS EMPRENDEDORES EN LA PROVINCIA DE SEGOVIA (2019)..,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Presupuesto General de la Diputación de Segovia, año 2019",https://www.dipsegovia.es/presupuestos,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",DÍA SIGUIENTE PUBLICACIÓN BOP,,,
13,EXTREMADURA,"CONSEJERÍA DE MEDIO AMBIENTE Y RURAL, POLÍTICAS AGRARIAS Y TERRITORIO",438333,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"750,000.00 €","ACTIVIDADES PROFESIONALES, CIENTÍ?FICAS Y TÉCNICAS",ES432 - Cáceres,OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO,"Ayudas 2019 Enfoque Leader a inversiones en la creación y desarrollo de empresas y actividades no agrícolas en zonas rurales (Submedida 19.2.3 PDR), s/ III Convocatoria (PDR 2014-2020) G.A.L. ADEME.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Decreto 184/2016, de 22 de noviembre, por el que se regula el sistema de ayudas bajo la metodología LEADER y el procedimiento de gestión, para el periodo de programación de desarrollo rural 2014-2020.",http://doe.juntaex.es/pdfs/doe/2016/2300o/16040211.pdf -- http://doe.gobex.es/pdfs/doe/2018/970o/18040070.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día siguiente a publicación,DOS meses desde día siguiente a publicación,,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
14,EXTREMADURA,"CONSEJERÍA DE MEDIO AMBIENTE Y RURAL, POLÍTICAS AGRARIAS Y TERRITORIO",438332,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"100,000.00 €",Industria de la alimentación,ES432 - Cáceres,OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO,"Ayudas 2019 Enfoque Leader, NO ACOGIDAS a Régimen MINIMIS, a inversiones en transformación y comercialización de productos agrícolas (Submedida 19.2.2 PDR), s/ III Convocatoria (PDR 2014-2020) G.A.L. ADEME.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Decreto 184/2016, de 22 de noviembre, por el que se regula el sistema de ayudas bajo la metodología LEADER y el procedimiento de gestión, para el periodo de programación de desarrollo rural 2014-2020.",http://doe.juntaex.es/pdfs/doe/2016/2300o/16040211.pdf -- http://doe.gobex.es/pdfs/doe/2018/970o/18040070.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día siguiente a publicación,DOS meses desde día siguiente a publicación,,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
15,EXTREMADURA,"CONSEJERÍA DE MEDIO AMBIENTE Y RURAL, POLÍTICAS AGRARIAS Y TERRITORIO",438331,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"100,000.00 €",Industria de la alimentación,ES432 - Cáceres,OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO,"Ayudas 2019 Enfoque Leader, en Régimen MINIMIS, a inversiones en transformación y comercialización de productos agrícolas (Submedida 19.2.2 PDR), s/ III Convocatoria (PDR 2014-2020) G.A.L. ADEME.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Decreto 184/2016, de 22 de noviembre, por el que se regula el sistema de ayudas bajo la metodología LEADER y el procedimiento de gestión, para el periodo de programación de desarrollo rural 2014-2020.",http://doe.juntaex.es/pdfs/doe/2016/2300o/16040211.pdf -- http://doe.gobex.es/pdfs/doe/2018/970o/18040070.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día siguiente a publicación,DOS meses desde día siguiente a publicación,,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
16,ASCÓ,AYUNTAMIENTO DE ASCÓ,438330,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,0.00 €,OTROS SERVICIOS,ES514 - Tarragona,DESEMPLEO,Convocatoria de subvenciones para fomentar la creación de empleo.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Bases reguladoras de subvenciones para fomentar la creación de empleo,https://www.diputaciodetarragona.cat/ebop/index.php?op=anunci&id=10754&ebop_any=2018,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",31/12/2019,,,
17,GALICIA,AGENCIA GALLEGA DE LA INDUSTRIA FORESTAL,438290,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,0.00 €,Silvicultura y otras actividades forestales,ES11 - GALICIA,INDUSTRIA Y ENERGÍA,"Resolución por la que se convocan para el año 2019 ayudas a inversiones en tecnologías forestales, procesado, movilización y comercialización de productos forestales, cofinanciadas con FEADER .",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Resolución por la que se convocan para el año 2019 ayudas a inversiones en tecnologías forestales, procesado, movilización y comercialización de productos forestales, cofinanciadas con FEADER ",https://www.xunta.gal/diario-oficial-galicia/portalPublicoHome.do?fecha=20180423&ruta=%2Fsrv%2Fwww%2Fdoga%2FPublicados%2F2018%2F20180423%2FIndice78_gl.html,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",14/03/2019,,,
18,GALICIA,AGENCIA GALLEGA DE INNOVACIÓN,438284,05/02/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"2,800,000.00 €",Actividades de investigación,ES11 - GALICIA,"INVESTIGACIÓN, DESARROLLO E INNOVACIÓN","RESOLUCIÓN del 28 de diciembre de 2018, por la que se establecen las bases reguladoras para la concesión, en régimen de concurrencia competitiva, de las ayudas para la mejora de la capacidad de innovación de las empresas en Galicia, a través de la financi.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"RESOLUCIÓN del 28 de diciembre de 2018, por la que se establecen las bases reguladoras para la concesión, en régimen de concurrencia competitiva, de las ayudas para la mejora de la capacidad de innovación de las empresas en Galicia, a través de la financi",https://www.xunta.gal/dog/Publicados/2019/20190208/AnuncioG0198-100119-0001_es.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Al día siguiente de su publicación en DOG,"Dos ,eses contados a partir del día siguiente de la publicación en DOG",SA.53600,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
