,entidad,tipo,BMDS,FECHA,intrumento,inst_text,tipo convocatoria,tipo_text,presupuesto,sector,region,finalidad,convocatoria_esp,convocatoria_coo,tipo_beneficiario,base_reguladora,http_reguladora,diario_of,continuo,validez,inicio,final,sa_number,cofinanciado
0,EXTREMADURA,EXTREMADURA AVANTE S.L.U.,458636,30/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"101,000.00 €",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES43 - EXTREMADURA,"COMERCIO, TURISMO Y PYMES","Ayudas 2019 para participación agrupada en 3 Misiones Comerciales Directas a  Asia Central,India y Sudeste Asiatico en 2019, s/ Convocatoria de 28 de mayo de 2019 de Extremadura Avante.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Decreto 210/2017, de 28 de noviembre, por el que se establecen las bases reguladoras de las ayudas para la participación agrupada en acciones de promoción de carácter internacional convocadas por Extremadura Avante Servicios Avanzados a Pymes, SLU",http://doe.gobex.es/pdfs/doe/2017/2320o/17040224.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día siguiente a publicación en DOE,6 días hábiles desde siguiente a publicación,,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
1,PRINCIPADO DE ASTURIAS,INSTITUTO DE DESARROLLO ECONÓMICO DEL PRINCIPADO DE ASTURIAS,458625,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"920,598.19 €",ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXILIARES,ES12 - PRINCIPADO DE ASTURIAS,"INVESTIGACIÓN, DESARROLLO E INNOVACIÓN","Resolución de 29/05/2019, del IDEPA por la que se aprueba la convocatoria para la concesión de subvenciones dirigidas a empresas de base tecnológica en el Principado de Asturias para el ejercicio 2019 (Programa RIS3-Empresa)..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,RESOLUCIÓN 05/06/2017 DE LA CONSEJERÍA DE EMPLEO INDUSTRIA Y TURISMO POR LA QUE SE APRUEBAN  BASES REGULADORAS PARA CONCESIÓN DE SUBVENCIONES DIRIGIDAS A EMPRESAS PARA EL DESARROLLO DE PROYECTOS DE I+D+i EN EL MARCO DE LA ESTRATEGIA ASTURIAS RIS3,https://sede.asturias.es/bopa/2017/06/14/2017-06598.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día natural siguiente a la publicación del extracto en el BOPA,Fijado en la Resolución de la Convocatoria,SA.48615,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
2,SOPELA,AYUNTAMIENTO DE SOPELA,458620,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,0.00 €,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES213 - Bizkaia,CULTURA,convocatoria pública anual 2019 para la concesión de ayudas económicas para euskaldunizar la rotulación fija e imagen corporativa.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Ordenanza municipal de ayudas económicas para euskaldunizar la rotulación fija e imagen corporativa,http://www.bizkaia.eus/lehendakaritza/Bao_bob/2010/09/20100921a182.pdf?hash=4cf1bcf17535f27232c1fcda901f8fd2#page=47,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Desde el día siguiente a la publicación del extracto en el BOB,,,
3,CATALUÑA,DEPARTAMENT DE LA PRESIDÈNCIA,458609,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"4,094,000.00 €",INFORMACIÓN Y COMUNICACIONES,ES51 - CATALUÑA,CULTURA,Subvenciones estructurales para la edición de publicaciones periódicas en soporte de papel en catalán o en aranés..,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"ORDEN PRE/91/2019, de 7 de mayo, por la que se aprueban las bases reguladoras del procedimiento para la concesión de subvenciones estructurales para la edición de publicaciones periódicas en soporte de papel en catalán o en aranés.",https://dogc.gencat.cat/es/pdogc_canals_interns/pdogc_resultats_fitxa/?action=fitxa&documentId=848896&language=es_ES,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Al día siguiente de la publicación de la Resolución en el DOGC,Quince días hábiles a contar desde la publicación de la Resolución en el DOGC,,
4,CASTILLA-LA MANCHA,DIRECCION GENERAL DE DESARROLLO RURAL,458591,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"29,327,503.41 €","Agricultura, ganadería, caza y servicios relacionados con las mismas",ES42 - CASTILLA LA MANCHA,"AGRICULTURA, PESCA Y ALIMENTACIÓN","Resolución de 28/05/2019 de la Dirección General de Desarrollo Rural de la Consejería de Agricultura, Medio Ambiente y Desarrollo Rural, por la que se establece la convocatoria, en régimen de concurrencia competitiva, de ayudas a la modernización y transf.",.,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Orden 61/2019, de 11 de abril, de la Consejería de Agricultura, Medio Ambiente y Desarrollo Rural, por la que se establecen las bases reguladoras para la concesión de ayudas para la modernización y transformación de los regadíos en el ámbito territorial d",https://docm.castillalamancha.es/portaldocm/descargarArchivo.do?ruta=2019/04/17/pdf/2019_3822.pdf&tipo=rutaDocm,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",desde el día siguiente a la publicación de esta convocatoria y su extracto en el Diario Oficial de C,tres meses  desde el día siguiente a la publicación de esta convocatoria y su extracto en el,,FEADER - FONDO EUROPEO AGRÍCOLA DE DESARROLLO RURAL 
5,COMUNITAT VALENCIANA,SECRETARÍA AUTONÓMICA DE AGRICULTURA Y DESARROLLO RURAL,458561,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"1,300,000.00 €",Pesca,ES52 - COMUNIDAD VALENCIANA,"AGRICULTURA, PESCA Y ALIMENTACIÓN","S7740.- AYUDAS AÑO 2019 A ARMADORES Y PESCADORES DE BUQUES PESQUEROS C.V., AFECTADOS POR LA PARALIZACIÓN TEMPORAL DE LA ACTIVIDAD PESQUERA.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Orden 19/2016, de 22 de julio, bases reguladoras concesión ayudas a armadores y pescadores paralización temporal",http://www.dogv.gva.es/datos/2016/07/28/pdf/2016_6111.pdf,Sí,Sí,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Al día siguiente de la publicación del extracto de la Resolución,20 días natuirales a contar desde el día siguiente a la publicación del extrato de la Resolución,,FEMP - FONDO EUROPEO MARÍTIMO Y DE PESCA
6,TINEO,AYUNTAMIENTO DE TINEO,458550,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"1,250.00 €","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES120 - Asturias,"AGRICULTURA, PESCA Y ALIMENTACIÓN",CONCURSO CABALLOS DE PURA RAZA ESPAÑOLA  Y CRUZADOS 2019.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,REGLAMENTO REGULADOR CONCURSO CABALLOS PURA RAZA ESPAÑOLA Y CRUZADOS,https://sede.asturias.es/bopa/2017/06/30/2017-06961.pdf,No,No,27/05/2019,,,,
7,ESTADO,MINISTERIO DE CULTURA Y DEPORTE,458531,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"2,500,000.00 €","Actividades cinematográficas, de vídeo y de programas de televisión",ES - ESPAÑA ,CULTURA,"Resolución del Instituto de la Cinematografía y de las Artes Audiovisuales, por la que se convocan ayudas para la distribución de películas de largometraje y conjuntos de cortometrajes españoles, comunitarios e iberoamericanos para el año 2019..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Orden CUD/769/2018, de 17 de julio, por la que se establecen las bases reguladoras de las ayudas previstas en el Capítulo III de la Ley 55/2007, de 28 de diciembre, del Cine, y se determina la estructura del Registro Administrativo de Empresas Cinematográ",https://www.boe.es/boe/dias/2018/07/19/pdfs/BOE-A-2018-10176.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día siguiente apublicación extracto en BOE,20 días naturales después inicio plazo solicitud,SA.44158,
8,VILAFRANCA DEL PENEDÈS,AYUNTAMIENTO DE VILAFRANCA DEL PENEDÈS,458519,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"6,000.00 €",OTROS SERVICIOS,ES511 - Barcelona,OTRAS PRESTACIONES ECONÓMICAS,"DEPORTES-2019: CONVOCATORIA AYUDAS Y SUBVENCIONES A LOS DEPORTISTAS Y EQUIPOS DEPORTIVOS DE ELITE DE VILAFRANCA QUE GENEREN REPERCURSIÓN MEDIATICA PARA VILAFRANCA DEL PENEDÈS, CURSO 2018-2019.",.,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"DEPORTES-2019: CONVOCATORIA AYUDAS Y SUBVENCIONES A LOS DEPORTISTAS Y EQUIPOS DEPORTIVOS DE ELITE DE VILAFRANCA QUE GENEREN REPERCURSIÓN MEDIATICA PARA VILAFRANCA DEL PENEDÈS, CURSO 2018-2019",https://bop.diba.cat/scripts/ftpisa.aspx?fnew?bop2006&10/062379999.pdf&62,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",04/07/2019,,,
9,GALICIA,CONSEJERÍA DE EMPLEO E IGUALDAD,458505,29/05/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,0.00 €,Industrias extractivas n.c.o.p.,ES11 - GALICIA,INDUSTRIA Y ENERGÍA,"ORDEpola que se establecen as bases reguladoras para a concesión de subvencións a empresas privadas, en réxime de concorrencia competitiva, para a loita contra as enfermidades profesionais no sector mineiro de galicia .",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"ORDEpola que se establecen as bases reguladoras para a concesión de subvencións a empresas privadas, en réxime de concorrencia competitiva, para a loita contra as enfermidades profesionais no sector mineiro de galicia ",https://www.xunta.gal/dog/Publicados/2019/20190606/AnuncioG0424-240519-0006_es.html,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",08/07/2019,,SA.54674,
