,entidad,tipo,BMDS,FECHA,intrumento,inst_text,tipo convocatoria,tipo_text,presupuesto,sector,region,finalidad,convocatoria_esp,convocatoria_coo,tipo_beneficiario,base_reguladora,http_reguladora,diario_of,continuo,validez,inicio,final,sa_number,cofinanciado
0,ARAGÓN,DIRECCIÓN GENERAL DE CAMBIO CLIMÁTICO Y EDUCACIÓN AMBIENTAL,467795,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"82,943.52 €","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES24 - ARAGON,OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO,Subvenciones públicas en el area de influencia socioecónomica del Parque Nacional de Ordesa y Monte Perdido año  2019.,.,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Real Decreto 1229/2005, de 13 de octubre, por el que se regulan las subvenciones públicas con cargo a los PGE en las áreas de influencia socioeconómica de los Parques Nacionales",https://www.boe.es/eli/es/rd/2005/10/13/1229/con,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Día siguiente al de la publicación BOA,15 días naturales contados a partir de fecha de inicio de solicitud,,
1,IDIAZABAL,AYUNTAMIENTO DE IDIAZABAL,467789,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"6,000.00 €",OTROS SERVICIOS,ES212 - Gipuzkoa,CULTURA,Convocatoria de subvenciones de 2019 para la promoción del euskera en los medios de comunicación.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Bases reguladoras del otorgamiento de subvenciones para promover la presencia y uso del euskera en medios de comunicación.,https://egoitza.gipuzkoa.eus/gao-bog/castell/bog/2017/06/09/c1704043.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",El día siguiente a la publicación en el BOG,,,
2,ESTADO,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",467778,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"300,000.00 €","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES - ESPAÑA ,"AGRICULTURA, PESCA Y ALIMENTACIÓN","Orden APA/818/2019, de 18 de julio, por la que se regula la concesión de ayudas al voraz en régimen «de minimis» al sector pesquero..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Orden APA/818/2019, de 18 de julio, por la que se regula la concesión de ayudas al voraz en régimen «de minimis» al sector pesquero.",https://www.boe.es/boe/dias/2019/07/31/pdfs/BOE-A-2019-11235.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",DESDE EL 6/08/2019 ,HASTA EL 27/08/2019 INCLUIDO,,
3,AVILÉS,AYUNTAMIENTO DE AVILÉS,467769,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"11,500.00 €",ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES12 - PRINCIPADO DE ASTURIAS,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,SUBVENCION NOMINATIVA A LA ENTIDAD CRUZ ROJA ESPAÑOLA PARA PROYECTO DE VOLUNTARIADO.,.,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,CONCESION DIRECTA,https://sede.asturias.es/portal/site/Asturias/menuitem.1003733838db7342ebc4e191100000f7/?vgnextoid=d7d79d16b61ee010VgnVCM1000000100007fRCRD&fecha=04/09/2008&refArticulo=2008-15587,No,No,02/01/2019,,,,
4,COMUNITAT VALENCIANA,INSTITUTO VALENCIANO DE COMPETITIVIDAD EMPRESARIAL (IVACE),467757,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"250,000.00 €",OTROS SERVICIOS,ES52 - COMUNIDAD VALENCIANA,"INVESTIGACIÓN, DESARROLLO E INNOVACIÓN",CONVENIO DE COLABORACIÓN ENTRE IVACE Y LA ASOCIACIÓN RED DE INSTITUTOS TECNOLÓGICOS DE LA COMUNITAT VALENCIANA (REDIT) PARA APOYAR LAS ACTUACIONES Y PROYECTOS DESARROLLADOS POR REDIT.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"LEY 22/2017, de 29 de diciembre, de presupuestos de la Generalitat para el ejercicio 2018.",http://www.dogv.gva.es/datos/2017/12/30/pdf/2017_12223.pdf,No,No,02/09/2018,,,,
5,CATALUÑA,"DEPARTAMENT D'ACCIÓ CLIMÀTICA, ALIMENTACIÓ I AGENDA RURAL ",467754,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"17,872.34 €","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES51 - CATALUÑA,"AGRICULTURA, PESCA Y ALIMENTACIÓN","Ayudas de minimis para el establecimiento de nuevas plantaciones de lúpulo y reconversión y mejora de las existentes, y para la adquisición de maquinaria específica para el sector del lúpulo para el año 2019..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Bases reguladoras para la concesión de ayudas estatales de minimis destinadas a dicho sector.,https://www.boe.es/boe/dias/2019/05/04/pdfs/BOE-A-2019-6607.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Desde el día siguiente publicación,,,
6,VALLS,AYUNTAMIENTO DE VALLS,467721,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"50,000.00 €",CONSTRUCCIÓN,ES514 - Tarragona,ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN,CONVOCATORIA SUBVENCIONES DE REHABILITACIÓN DE EDIFICIOS EN EL ÁMBITO DEL PLAN DE INTERVENCIÓN INTEGRAL DEL BARRI ANTIC 2019..,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,CONVOCATORIA SUBVENCIONES DE REHABILITACIÓN DE EDIFICIOS EN EL ÁMBITO DEL PLAN DE INTERVENCIÓN INTEGRAL DEL BARRI ANTIC 2019.,https://www.diputaciodetarragona.cat/ebop/index.php?op=anunci&id=5870&ebop_any=2019,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",A partir del día siguiente a la publicación de la convocatoria.,30/09/2019,,
7,SANTA MARGARIDA DE MONTBUI,AYUNTAMIENTO DE SANTA MARGARIDA DE MONTBUI,467720,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"4,833.95 €",OTROS SERVICIOS,ES511 - Barcelona,OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO,CONVENI ESCOLA GARCIA LORCA - ESTRUCTURES PATI.,.,GRAN EMPRESA,CONVENI ESCOLA GARCIA LORCA - ESTRUCTURES PATI,https://bop.diba.cat/scripts/ftpisa.aspx?fnew?bop2009&08/09188a19999.pdf&99,No,No,01/01/2019,,,,
8,SANTA MARGARIDA DE MONTBUI,AYUNTAMIENTO DE SANTA MARGARIDA DE MONTBUI,467719,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,150.00 €,OTROS SERVICIOS,ES511 - Barcelona,OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO,CONVENI DONES AMB EMPENTA.,.,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,CONVENI DONES AMB EMPENTA,https://bop.diba.cat/scripts/ftpisa.aspx?fnew?bop2009&08/09188a19999.pdf&99,No,No,01/01/2019,,,,
9,SANTA MARGARIDA DE MONTBUI,AYUNTAMIENTO DE SANTA MARGARIDA DE MONTBUI,467718,23/07/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,500.00 €,OTROS SERVICIOS,ES511 - Barcelona,OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO,CONVENI GATS MONTBUI.,.,GRAN EMPRESA,CONVENI GATS MONTBUI,https://bop.diba.cat/scripts/ftpisa.aspx?fnew?bop2009&08/09188a19999.pdf&99,No,No,01/01/2019,,,,
