,entidad,tipo,BMDS,FECHA,intrumento,inst_text,tipo convocatoria,tipo_text,presupuesto,sector,region,finalidad,convocatoria_esp,convocatoria_coo,tipo_beneficiario,base_reguladora,http_reguladora,diario_of,continuo,validez,inicio,final,sa_number,cofinanciado
0,ONDA,AYUNTAMIENTO DE ONDA,450329,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"15,000.00 €","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES522 - Castellón / Castelló,FOMENTO DEL EMPLEO,Bases reguladoras de la convocatoria de ayudas económicas Onda Innova y Centro Histórico 2019.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Bases reguladoras de la convocatoria de ayudas económicas Onda Innova y Centro Histórico 2019,http://www.onda.es/ond/uploaded/AreasMunicipales/Empleo/2019/Ayudas-Onda-Innova/1%20-%20Bases.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",16/09/2019,,,
1,CASTILLA Y LEÓN,CONSEJERÍA DE ECONOMÍA Y HACIENDA,450324,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"2,229,768.20 €",INFORMACIÓN Y COMUNICACIONES,ES41 - CASTILLA Y LEON,INDUSTRIA Y ENERGÍA,"Orden de 15 de abril de 2019, de la Consejería de Economía y Hacienda, por la que se convocan subvenciones dentro del programa de incentivos a la movilidad eficiente y sostenible (Programa MOVES) (Código REAY: EYM 004)..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Real Decreto 72/2019, de 15 de febrero, por el que se regula el programa de incentivos a la movilidad eficiente y sostenible (Programa MOVES)",https://www.boe.es/boe/dias/2019/02/16/pdfs/BOE-A-2019-2148.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",31/12/2019,,SA.53678,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
2,CASTILLA-LA MANCHA,"DIRECCION GENERAL TURISMO, COMERCIO Y ARTESANIA",450321,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"400,000.00 €",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES42 - CASTILLA LA MANCHA,"COMERCIO, TURISMO Y PYMES","Resolución de 11/04/2019, de la Dirección General de Turismo, Comercio y Artesanía, por la que se convocan las ayudas destinadas a impulsar la modernización, mejora y promoción del comercio minorista en Castilla-La Mancha, para el ejercicio 2019..",.,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Orden 41/2018, de 8 de marzo, de la Consejería de Economía, Empresas y Empleo, por la que se establecen las bases reguladoras de las ayudas destinadas a impulsar la modernización, mejora y promoción del comercio minorista en Castilla-La Mancha.",http://docm.castillalamancha.es/portaldocm/descargarArchivo.do?ruta=2018/03/26/pdf/2018_3560.pdf&tipo=rutaDocm,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Desde el día siguiente a la publicación del extracto en el en el DOCM.,1 mes a partir del siguiente a la publicación del extracto en el DOCM,,
3,CASTILLA-LA MANCHA,DIRECCION GENERAL PROGRAMAS DE EMPLEO,450320,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"350,000.00 €",INDUSTRIA MANUFACTURERA,ES42 - CASTILLA LA MANCHA,FOMENTO DEL EMPLEO,"Resolución de la Dirección General de Programas de Empleo, por la que se convocan para el ejercicio 2019, subvenciones para el programa de empleo con apoyo de personas con discapacidad en el mercado ordinario de trabajo..",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Orden 53/2019 de 5 de marzo, por la que se establecen las bases reguladoras para la concesión de subvenciones para el programa de empleo con apoyo de personas con discapacidad en el mercado ordinario de trabajo.",https://docm.castillalamancha.es/portaldocm/descargarArchivo.do?ruta=2019/04/01/pdf/2019_3085.pdf&tipo=rutaDocm,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Desde el día siguiente al de la publicación del extracto en el DOCM.,20 días a contar desde el día siguiente al de la publicación del extracto en el DOCM.,SA.54347,
4,CASTILLA-LA MANCHA,DIRECCION GENERAL PROGRAMAS DE EMPLEO,450291,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"17,699,000.00 €","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES42 - CASTILLA LA MANCHA,FOMENTO DEL EMPLEO,Resolución por la que se publican los créditos disponibles en el ejercicio 2019 que financian las subvenciones de costes salariales para promover y facilitar la integración laboral de las personas con discapacidad en centros especiales de empleo..,.,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Decreto 36/2016, por el que se modifica el Decreto 21/2010, por el que se regula la concesión directa de subvenciones para promover y facilitar la integración laboral de las personas con discapacidad en centros especiales de empleo.",http://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2016/08/04/pdf/2016_8291.pdf&tipo=rutaDocm ,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Desde el día siguiente al de la publicación del extracto y de la convocatoria en el DOCM.,En el plazo de 4 meses desde la publicación del extracto y de la convocatoria en el DOCM.,SA.54447,
5,EJEA DE LOS CABALLEROS,AYUNTAMIENTO DE EJEA DE LOS CABALLEROS,450288,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"80,000.00 €","ACTIVIDADES PROFESIONALES, CIENTÍ?FICAS Y TÉCNICAS",ES243 - Zaragoza,FOMENTO DEL EMPLEO,SUBVENCIONES APOYO A LA ACTIVIDAD ECONÓMICA Y FOMENTO DEL EMPLEO.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,SUBVENCIONES APOYO A LA ACTIVIDAD ECONÓMICA Y FOMENTO DEL EMPLEO,http://www.ejea.es/Informacion/Subvenciones/APOYO_ACTIVIDAD_ECONOMICA_Y_FOMENTO_EMPLEO_2019.html,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",El día siugiente al de la publicación el BOPZ,21 de septiembre de 2019,,
6,ASPE,AYUNTAMIENTO DE ASPE,450286,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"3,400.00 €","Actividades de creación, artísticas y espectáculos",ES521 - Alicante / Alacant,CULTURA,SUBVENCION DE CONCURRENCIA COMPETITIVA XXI PREMIO PROVINCIAL DE NARRATIVA BREVE GEMINIS.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,BASES REGULADORAS CONCURRENCIA COMPETITIVA,http://ov.dip-alicante.es/,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",23/10/2019,,,
7,EJEA DE LOS CABALLEROS,AYUNTAMIENTO DE EJEA DE LOS CABALLEROS,450284,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"6,000.00 €","ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES243 - Zaragoza,FOMENTO DEL EMPLEO,CONCURSO PARA NUEVOS EMPRENDEDORES MONTA TU EMPRESA.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,CONCURSO PARA NUEVOS EMPRENDEDORES MONTA TU EMPRESA,http://www.ejea.es/Informacion/Subvenciones/MONTA_TU_EMPRESA_2019.html,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",15 de abril de 2019,28 de junio de 2019,,
8,CATALUÑA,DEPARTAMENT DE DRETS SOCIALS ,450283,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"7,300,000.00 €",ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES51 - CATALUÑA,FOMENTO DEL EMPLEO,Convocatoria para el año 2019 para la concesión de subvenciones destinadas a las entidades sin ánimo de lucro para la realización del Programa de medidas activas de inserción para personas destinatarias de la renta garantizada de ciudadanía.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Bases reguladores per a la concessió de subvencions destinades a les entitats sense ànim de lucre per a la realització del Programa de mesures actives d'inserció per a persones destinatàries de,https://portaldogc.gencat.cat/utilsEADOP/PDF/7396/1619857.pdf,Sí,Sí,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",el dia següent a la publicació,deu dies a contar des del dia següent a la publicació,,
9,EJEA DE LOS CABALLEROS,AYUNTAMIENTO DE EJEA DE LOS CABALLEROS,450282,15/04/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"9,000.00 €",Actividades auxiliares a la educación,ES243 - Zaragoza,FOMENTO DEL EMPLEO,"CONVOCATORIA DESIERTA: SUBV. FOMENTO DE LA ACTIVIDAD ECONÓMICA EN EL ÁMBITO DEL PROYECTO CASCO HISTÓRICO XXI, AÑO 2019.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"SUBV. FOMENTO DE LA ACTIVIDAD ECONÓMICA EN EL ÁMBITO DEL PROYECTO CASCO HISTÓRICO XXI, AÑO 2019",http://www.ejea.es/Informacion/Subvenciones/CASCO_HISTORICO_XXI_2019.html,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",Al día siguiente de su publicación en el BOPZ,15 de septiembre de 2019,,
